STT,Câu hỏi,Câu trả lời từ Base Vietnamese Bi-Encoder,Câu trả lời ground truth,Answer relevance
1,"Tại sao sự minh mẫn, sáng suốt của người lập di chúc lại là yếu tố quyết định tính tự nguyện của di chúc?","Theo ngữ cảnh được cung cấp, sự minh mẫn, sáng suốt là yếu tố quyết định tính tự nguyện vì nó đảm bảo người lập di chúc không bị các yếu tố khách quan hay chủ quan tác động làm mất khả năng nhận thức hoặc kiểm soát ý chí của mình. Khi minh mẫn, sáng suốt, người lập di chúc mới có thể thể hiện được ý chí đích thực (nguyện vọng, mong muốn chủ quan bên trong) mà không bị lừa dối, đe dọa hoặc cưỡng ép bởi các chủ thể khác.","Điều kiện có hiệu lực của di chúc a. Người lập di chúc phải có năng lực chủ thể trong việc lập di chúc Người thành niên là người từ đủ 18 tuổi trở lên, có năng lực hành vi dân sự đầy đủ, không phân biệt nam, nữ, tôn giáo hay thành phần... Họ có toàn quyền trong việc lập di chúc để định đoạt tài sản của mình. Người từ đủ 15 tuổi đến chưa đủ 18 tuổi được lập di chúc nhưng di chúc đó phải được lập thành văn bản và phải được cha, mẹ hoặc người giám hộ đồng ý về việc lập di chúc. b. Người lập di chúc tự nguyện Điểm a, Khoản 1, Điều 630, BLDS 2015 quy định: “Người lập di chúc minh mẫn, sáng suốt trong khi lập di chúc; không bị lừa dối, đe doạ hoặc cưỡng ép”, tức là không có sự tác động của chủ thể khác làm người lập di chúc không thể hiện được ý chí tự nguyện khi lập di chúc. Đe dọa, cưỡng ép có thể là về thể chất (đánh đập, giam giữ...",1.0
2,Tại sao sự thừa nhận và tác động của pháp luật đối với cùng một mối quan hệ xã hội lại khác nhau qua các giai đoạn lịch sử?,Sự thừa nhận và tác động của pháp luật đối với cùng một mối quan hệ xã hội khác nhau qua các giai đoạn lịch sử vì sự tồn tại của các quan hệ xã hội đó ảnh hưởng đến lợi ích của giai cấp thống trị ở mỗi thời kỳ là khác nhau.,"Khi xây dựng và ban hành pháp luật, giai cấp thống trị trong xã hội thông qua con đường nhà nước bao giờ cũng cân nhắc các loại quan hệ xã hội cần tác động tới bằng pháp luật nhằm bảo vệ lợi ích giai cấp. Các giai đoạn phát triển khác nhau của lịch sử xã hội loài người cho thấy, cùng một mối quan hệ xã hội nhất định sự thừa nhận và tác động bằng pháp luật của nhà nước ở mỗi giai đoạn khác nhau là khác nhau bởi lẽ sự tồn tại của những quan hệ xã hội này có thể ảnh hưởng tới lợi ích của giai cấp thống trị ở mỗi thời kỳ là khác nhau. Ví dụ: Trong thời kỳ chiếm hữu nô lệ và thời kỳ phong kiến quan hệ hôn nhân đa thê được thừa nhận ở nhiều quốc gia bởi nó phù hợp với lợi ích của giai cấp chủ nô và địa chủ, tuy nhiên quan hệ này đang bị loại bỏ ở xã hội hiện đại... - Quan hệ pháp luật là loại quan hệ có nội dung được biểu hiện thành quyền và nghĩa vụ pháp lý của các bên trong quan hệ.",1.0
3,"Tại sao việc thực hiện quyền lực công ở các quốc gia lại cần đến đội ngũ công chức, viên chức?",Thông tin bạn hỏi không được đề cập trong ngữ cảnh được cung cấp.,"Quy tắc ứng xử, quy tắc đạo đức nghề nghiệp, việc chuyển đổi vị trí công tác của cán bộ, công chức, viên chức Quy tắc ứng xử là các chuẩn mực xử sự của cán bộ, công chức, viên chức trong thi hành nhiệm vụ, công vụ và trong quan hệ xã hội, bao gồm những việc phải làm hoặc không được làm, phù hợp với đặc thù công việc của từng nhóm cán bộ, công chức, viên chức và từng lĩnh vực hoạt động công vụ, nhằm bảo đảm sự liêm chính và trách nhiệm của cán bộ, Chủ biên TS. Trần Thành Thọ công chức, viên chức. Quy tắc ứng xử của cán bộ, công chức, viên chức phải được công khai để nhân dân giám sát việc chấp hành. Các nước trên thế giới mặc dù có chế độ chính trị khác nhau nhưng về cơ bản, việc thực hiện quyền lực công đều phải thông qua hoạt động công vụ của đội ngũ công chức, viên chức.",0.0
4,"Theo Bộ luật Dân sự 2015, quyền định đoạt tài sản được hiểu như thế nào?","Theo Điều 192 Bộ luật Dân sự 2015, quyền định đoạt là quyền chuyển giao quyền sở hữu tài sản, từ bỏ quyền sở hữu, tiêu dùng hoặc tiêu hủy tài sản. Đây là quyền năng của chủ thể để quyết định ""số phận"" của tài sản.","” Quyền sử dụng tài sản có thể được thực hiện bởi chủ sở hữu nhưng cũng có thể chuyển giao cho người khác theo thỏa thuận hoặc theo quy định của pháp luật. Chủ sở hữu được sử dụng tài sản theo ý chí của mình nhưng không được gây thiệt hại hoặc làm ảnh hưởng đến lợi ích Quốc gia, dân tộc, lợi ích công cộng, quyền và lợi ích hợp pháp của người khác. Chủ biên TS. Trần Thành Thọ Người không phải là chủ sở hữu được sử dụng tài sản theo đúng thỏa thuận trong hợp đồng với chủ sở hữu hoặc theo quy định của pháp luật. c. Quyền định đoạt Theo điều 192 Bộ luật dân sự 2015, quyền định đoạt là quyền chuyển giao quyền sở hữu tài sản, từ bỏ quyền sở hữu, tiêu dùng hoặc tiêu hủy tài sản. Quyền định đoạt là quyền năng của chủ thể để quyết định “số phận” của tài sản.",1.0
5,"Theo Điều 650 Bộ luật Dân sự 2015, những trường hợp nào dẫn đến việc áp dụng thừa kế theo pháp luật?","Theo Điều 650 Bộ luật Dân sự 2015, thừa kế theo pháp luật được áp dụng trong các trường hợp sau: 1. Không có di chúc. 2. Di chúc không hợp pháp. 3. Những người thừa kế theo di chúc chết trước hoặc chết cùng thời điểm với người lập di chúc; cơ quan, tổ chức được hưởng thừa kế theo di chúc không còn tồn tại vào thời điểm mở thừa kế. 4. Những người được chỉ định làm người thừa kế theo di chúc mà không có quyền hưởng di sản hoặc từ chối quyền nhận di sản. Ngoài ra, thừa kế theo pháp luật còn áp dụng đối với: * Phần di sản không được định đoạt trong di chúc. * Phần di sản có liên quan đến phần của di chúc không có hiệu lực pháp luật. * Phần di sản có liên quan đến người được thừa kế theo di chúc nhưng họ không có quyền hưởng di sản, từ chối nhận di sản, chết trước hoặc chết cùng thời điểm với người lập di chúc.","Những trường hợp thừa kế theo pháp luật Theo quy định tại Điều 650, BLDS 2015 thì thừa kế theo pháp luật được áp dụng trong các trường hợp sau đây: Không có di chúc; di chúc không hợp pháp; những người thừa kế theo di chúc chết trước hoặc chết cùng thời điểm với người lập di chúc, cơ quan, tổ chức được hưởng thừa kế theo di chúc không còn tồn tại vào thời điểm mở thừa kế; những người được chỉ định làm người thừa kế theo di chúc mà không có quyền hưởng di sản hoặc từ chối quyền nhận di sản. Chủ biên TS. Trần Thành Thọ Ngoài ra, thừa kế theo pháp luật cũng được áp dụng đối với các phần di sản sau: Phần di sản không được định đoạt trong di chúc; phần di sản có liên quan đến phần của di chúc không có hiệu lực pháp luật; phần di sản có liên quan đến người được thừa kế theo di chúc nhưng họ không có quyền hưởng di sản, từ chối nhận di sản, chết trước hoặc chết cùng thời điểm với người lập di",1.0
6,Tại sao việc đưa ra các điều kiện như giết người hoặc hủy hoại tài sản trong di chúc lại không được pháp luật công nhận?,"Vì đó là những điều kiện trái pháp luật, vi phạm các quy định về nội dung của di chúc.","Chẳng hạn, trong di chúc người lập di chúc không thể định đoạt vật mà Nhà nước cấm lưu thông, định đoạt tài sản cho những tổ chức phản động, đưa ra những điều kiện trái pháp luật đối với người thừa kế (giết người, huỷ hoại tài sản, không được nuôi dưỡng, chăm sóc người mà người thừa kế có nghĩa vụ chăm sóc, nuôi dưỡng...). Chủ biên TS. Trần Thành Thọ d. Hình thức của di chúc không trái quy định của luật Ý chí tự nguyện của người lập di chúc phải được thể hiện ra bên ngoài dưới một hình thức nhất định như di chúc miệng hoặc di chúc bằng văn bản. Hình thức của di chúc là nguồn chứng cứ được sử dụng để chứng minh ý chí đích thực của người lập di chúc về việc định đoạt di sản. Điểm b, Khoản 1, Điều 630, BLDS 2015 quy định: “... hình thức di chúc không trái quy định của luật”.",1.0
7,"Khi thực hiện quyền đối với tài sản thuộc sở hữu riêng, chủ sở hữu cần tuân thủ những giới hạn pháp lý nào để đảm bảo lợi ích chung?","Khi thực hiện quyền đối với tài sản thuộc sở hữu riêng, chủ sở hữu không được gây thiệt hại hoặc làm ảnh hưởng đến: - Lợi ích quốc gia, dân tộc. - Lợi ích công cộng. - Quyền và lợi ích hợp pháp của người khác.","Chủ sở hữu có quyền chiếm hữu, sử dụng, định đoạt tài sản thuộc sở hữu riêng của mình nhưng không được gây thiệt hại hoặc làm ảnh hưởng đến lợi ích quốc gia, dân tộc, lợi ích công cộng, quyền và lợi ích hợp pháp của người khác. c. Sở hữu chung Hình thức sở hữu chung được quy định từ Điều 207 đến Điều 220 Bộ luật Dân sự 2015, theo đó, sở hữu chung là sở hữu của nhiều chủ thể đối với tài sản, tài sản thuộc sở hữu chung được xác lập dựa trên cơ sở sự thỏa thuận của các bên, theo quy định của pháp luật hoặc theo tập quán. Sở hữu chung bao gồm sở hữu chung theo phần và sở hữu chung hợp nhất. - Sở hữu chung theo phần là sở hữu chung mà trong đó phần quyền sở hữu của mỗi chủ sở hữu được xác định đối với tài sản chung. Mỗi chủ sở hữu chung theo phần có quyền, nghĩa vụ đối với tài sản thuộc sở hữu chung tương ứng với phần quyền sở hữu của mình, trừ trường hợp có thỏa thuận khác.",1.0
8,Thế nào là sự tấn công hiện hữu trong phòng vệ chính đáng?,Sự tấn công hiện hữu trong phòng vệ chính đáng là hành vi tấn công đang xảy ra hoặc đe dọa xảy ra ngay tức khắc.,"+ Sự tấn công phải đang hiện hữu, nghĩa là hành vi tấn công phải đang xảy ra hoặc đe dọa xảy ra ngay tức khắc. - Thứ hai, mục đích phòng vệ là nhằm gạt bỏ sự tấn công, nghĩa là hành vi phòng vệ phải nhằm vào chính người đang có hành vi tấn công. Chủ biên TS. Trần Thành Thọ - Thứ ba, về phạm vi phòng vệ, sự phòng vệ phải trong giới hạn cần thiết để ngăn chặn sự tấn công. Sự cần thiết của hành vi phòng vệ được đánh giá dựa trên các yếu tố: tính chất của quan hệ xã hội bị đe dọa xâm hại; mức độ thiệt hại bị đe dọa gây ra; sức mạnh và sức mãnh liệt của hành vi tấn công; tính chất, mức độ của phương pháp, phương tiện hay công cụ mà kẻ tấn công đã sử dụng; thời gian, địa điểm xảy ra hành vi tấn công và phòng vệ; sức mạnh và khả năng phòng vệ.",1.0
9,Mối quan hệ giữa Mặt trận Tổ quốc Việt Nam và Đảng Cộng sản Việt Nam được thể hiện như thế nào?,"Mặt trận Tổ quốc Việt Nam là tổ chức liên minh chính trị, liên hiệp tự nguyện của các tổ chức chính trị, tổ chức chính trị - xã hội, tổ chức xã hội và các cá nhân tiêu biểu, hoạt động dưới sự lãnh đạo của Đảng.","36 Nguyễn Quốc Văn - Vũ Công Giao, Sách chuyên khảo, Phát huy vai trò của xã hội trong phòng chống tham nhũng, Nxb. Hồng Đức, Hà Nội, 2017, trang 16 Chủ biên TS. Trần Thành Thọ Các chủ thể xã hội có vai trò và trách nhiệm quan trọng đối với công tác phòng, chống tham nhũng, điều đó thể hiện ở các nội dung cơ bản sau: - Trách nhiệm của Mặt trận Tổ quốc Việt Nam và các thành viên trong công tác phòng, chống tham nhũng Mặt trận Tổ quốc Việt Nam và các thành viên là một bộ phận cấu thành hệ thống chính trị của nước ta, là tổ chức liên minh chính trị, liên hiệp tự nguyện của tổ chức chính trị, các tổ chức chính trị - xã hội, tổ chức xã hội và các cá nhân tiêu biểu trong các giai cấp, các tầng lớp xã hội, các dân tộc, các tôn giáo và người Việt Nam định cư ở nước ngoài dưới sự lãnh đạo của Đảng.",1.0
10,Mối quan hệ giữa các khả năng thực hiện quyền chủ thể được quy định như thế nào?,"Dựa trên ngữ cảnh được cung cấp, mối quan hệ giữa các khả năng thực hiện quyền chủ thể được quy định như sau: * **Sự gắn kết giữa quyền và nghĩa vụ:** Quyền và nghĩa vụ pháp lý có mối liên hệ mật thiết với nhau; tương ứng với quyền được thụ hưởng, chủ thể phải thực hiện các nghĩa vụ pháp lý nhất định. * **Khả năng thực hiện:** Chủ thể có khả năng thực hiện các quyền và nghĩa vụ thông qua các hành vi thực hiện pháp luật của mình. * **Trường hợp đặc biệt:** Đối với chủ thể bị mất, không có hoặc bị hạn chế năng lực hành vi, việc thực hiện các quyền và nghĩa vụ pháp lý phải được tiến hành thông qua hành vi của chủ thể khác (người đại diện, người giám hộ, người được ủy quyền...). * **Đối với pháp nhân:** Mọi hoạt động (thực hiện quyền và nghĩa vụ) của pháp nhân được tiến hành thông qua hành vi của các cá nhân là người đại diện, nhân danh pháp nhân để tạo ra quyền và nghĩa vụ cho pháp nhân đó.","Ví dụ: Pháp luật quy định cá nhân có quyền tự do ký kết hợp đồng, có quyền khiếu nại, có quyền tự do ngôn luận. + Khả năng yêu cầu các chủ thể khác chấm dứt các hành động cản trở nó thực hiện các quyền và nghĩa vụ hoặc yêu cầu tôn trọng các nghĩa vụ tương ứng phát sinh từ quyền và nghĩa vụ này. Ví dụ: Chủ sở hữu có quyền yêu cầu chấm dứt cản trở trái pháp luật đối với việc thực hiện quyền tài sản của mình; Cá nhân có quyền yêu cầu chấm dứt vi phạm các quyền nhân thân (sử dụng hình ảnh với mục đích kinh doanh không xin phép), quyền tác giả của mình. + Khả năng các chủ thể yêu cầu các cơ quan nhà nước có thẩm quyền bảo vệ lợi ích của mình. Chẳng hạn như: Khi bị vi phạm hợp đồng, bên bị vi phạm có quyền yêu cầu huỷ hợp đồng do lỗi của bên kia, yêu cầu bồi thường thiệt hại... Các khả năng kể trên của quyền chủ thể là thống nhất không thể tách rời.",0.5
11,Nguyên tắc áp dụng hình phạt chính và hình phạt bổ sung đối với một tội phạm được quy định như thế nào?,"Đối với mỗi tội phạm, người phạm tội (cá nhân hoặc pháp nhân thương mại) chỉ bị áp dụng một hình phạt chính và có thể bị áp dụng một hoặc một số hình phạt bổ sung.","Các hình phạt đối với cá nhân người phạm tội Các hình phạt đối với cá nhân người phạm tội gồm hình phạt chính và hình phạt bổ sung. Nguyên tắc cơ bản của việc áp dụng các hình phạt đối với cá nhân người phạm tội là: Đối với mỗi tội phạm, người phạm tội chỉ bị áp dụng một hình phạt chính và có thể bị áp dụng một hoặc một số hình phạt bổ sung. a. Các hình phạt chính bao gồm: Cảnh cáo; Phạt tiền; Cải tạo không giam giữ; Trục xuất; Tù có thời hạn; Tù chung thân; Tử hình. Cảnh cáo: Hình phạt cảnh cáo là sự khiển trách công khai của Nhà nước do Tòa án tuyên đối với người bị kết án. Đây là hình phạt chính nhẹ nhất trong các hình phạt chính. Theo quy định tại Điều 34 BLHS 2015, cảnh cáo được áp dụng đối với người phạm tội ít nghiêm trọng và có nhiều tình tiết giảm nhẹ, nhưng chưa đến mức miễn hình phạt.",1.0
12,Nguyên tắc phân hóa trách nhiệm hình sự đòi hỏi việc xác định tội phạm và hình phạt phải dựa trên những yếu tố nào?,"Theo nguyên tắc phân hóa trách nhiệm hình sự, việc xác định tội phạm và hình phạt phải dựa trên các yếu tố sau: * Mức độ gây nguy hiểm cho xã hội của tội phạm gây ra. * Nhân thân của chủ thể phạm tội. * Hoàn cảnh của chủ thể phạm tội.","7.1.2.5 Nguyên tắc phân hóa trách nhiệm hình sự Chức năng trừng phạt và giáo dục của luật hình sự chỉ có thể thành hiện thực khi trách nhiệm hình sự được xác định đúng cho từng chủ thể phạm tội. Nguyên tắc phân hóa trách nhiệm hình sự, vì vậy là một trong những nguyên tắc đặc thù của ngành Luật Hình sự. Theo đó việc xác định tội phạm và hình phạt áp dụng cho chủ thể phạm tội phải tương xứng với mức độ gây nguy hiểm cho xã hội của tội phạm gây ra và phải phù hợp với nhân thân cũng như hoàn cảnh của chủ thể phạm tội. Việc phân hóa trách nhiệm hình sự trong Luật Hình sự được thể hiện trên các nội dung sau: + Luật Hình sự phân loại tội phạm thành các nhóm tội khác nhau để có các quy định khác nhau về trách nhiệm hình sự; + Luật Hình sự đa dạng hóa hệ thống hình phạt; + Luật Hình sự phân hóa chế tài của mỗi tội thành nhiều khung hình phạt khác nhau; + Luật Hình sự xác định các loại người khác",1.0
13,Mối quan hệ giữa việc phản ánh hành vi tham nhũng của công dân với Ban thanh tra nhân dân và cơ quan nhà nước là gì?,"Công dân phản ánh hành vi tham nhũng với Ban thanh tra nhân dân hoặc tổ chức mà mình là thành viên. Sau đó, Ban thanh tra nhân dân hoặc tổ chức đó có trách nhiệm kiến nghị với cơ quan nhà nước có thẩm quyền để xem xét, giải quyết theo quy định của pháp luật. Việc phản ánh này phải đảm bảo tính khách quan và trung thực.","2012) mỗi công dân đều có trách nhiệm: - Chấp hành nghiêm chỉnh pháp luật về phòng, chống tham nhũng. - Lên án, đấu tranh với những người có hành vi tham nhũng. - Phản ánh với Ban thanh tra nhân dân, tổ chức mà mình là thành viên về hành vi tham nhũng, vụ việc tham nhũng để Ban thanh tra nhân dân, tổ chức đó kiến nghị với cơ quan nhà nước có thẩm quyền xem xét, giải quyết theo quy định của pháp luật. Việc phản ánh về hành vi có dấu hiệu tham nhũng, vụ việc tham nhũng phải khách quan, trung thực. - Cộng tác với cơ quan, tổ chức, cá nhân có thẩm quyền trong việc xác minh vụ việc tham nhũng khi được yêu cầu. - Kiến nghị với cơ quan nhà nước có thẩm quyền sửa đổi, bổ sung, hoàn thiện cơ chế, chính sách pháp luật về phòng, chống tham nhũng. - Đóng góp ý kiến với các cơ quan nhà nước có thẩm quyền về việc xây dựng các văn bản pháp luật về phòng, chống tham nhũng.",1.0
