model,idx,question,answer,contexts_preview,ground_truth_preview,manual_relevancy,notes
base_vietnamese_bi_encoder,1,"Tại sao sự minh mẫn, sáng suốt của người lập di chúc lại là yếu tố quyết định tính tự nguyện của di chúc?","Theo ngữ cảnh được cung cấp, sự minh mẫn, sáng suốt là yếu tố quyết định tính tự nguyện vì nó đảm bảo người lập di chúc không bị các yếu tố khách quan hay chủ quan tác động làm mất khả năng nhận thức hoặc kiểm soát ý chí của mình. Khi minh mẫn, sáng suốt, người lập di chúc mới có thể thể hiện được ý chí đích thực (nguyện vọng, mong muốn chủ quan bên trong) mà không bị lừa dối, đe dọa hoặc cưỡng ép bởi các chủ thể khác.","Chủ thể tham gia giao dịch dân sự hoàn toàn tự nguyện Sự tự nguyện của các bên là điều kiện quan trọng làm phát sinh hiệu lực của giao dịch dân sự. Theo đó, chủ thể tham gia gia... || Điều kiện có hiệu lực của di chúc a. Người lập di chúc phải có năng lực chủ thể trong việc lập di chúc Người thành niên là người từ đủ 18 tuổi trở lên, có năng lực hành vi dân s... || Chủ biên TS. Trần Thành Thọ Thực tiễn cho thấy rằng trong khi xây dựng và thực hiện pháp luật, các lực lượng cầm quyền đều phải tính đến yếu tố đạo đức xã hội để tạo cho pháp lu... || ... (+2 đoạn)","Điều kiện có hiệu lực của di chúc a. Người lập di chúc phải có năng lực chủ thể trong việc lập di chúc Người thành niên là người từ đủ 18 tuổi trở lên, có năng lực hành vi dân sự đầy đủ, không phân biệt nam, nữ, tôn giáo hay thành phần... Họ có toàn quyền trong việc lập di chúc để định đoạt tài sản của mình. Người từ đủ 15 tuổi đến chưa đủ 18 tuổi được lập di chúc nhưng di chúc đó phải được lập...",1.0,
base_vietnamese_bi_encoder,2,Tại sao sự thừa nhận và tác động của pháp luật đối với cùng một mối quan hệ xã hội lại khác nhau qua các giai đoạn lịch sử?,Sự thừa nhận và tác động của pháp luật đối với cùng một mối quan hệ xã hội khác nhau qua các giai đoạn lịch sử vì sự tồn tại của các quan hệ xã hội đó ảnh hưởng đến lợi ích của giai cấp thống trị ở mỗi thời kỳ là khác nhau.,"Khi xây dựng và ban hành pháp luật, giai cấp thống trị trong xã hội thông qua con đường nhà nước bao giờ cũng cân nhắc các loại quan hệ xã hội cần tác động tới bằng pháp luật nh... || Quan hệ giữa pháp luật với đạo đức Đạo đức là những quan niệm, quan điểm của con người (một cộng đồng người, một giai cấp), về cái thiện, cái ác, về sự công bằng, nghĩa vụ, danh... || Chẳng hạn, pháp luật tư sản ở thời kỳ đầu, sau thắng lợi của cách mạng tư sản đã thể hiện rõ nội dung tiến bộ so với pháp luật phong kiến và có tác dụng tích cực góp phần xóa bỏ... || ... (+2 đoạn)","Khi xây dựng và ban hành pháp luật, giai cấp thống trị trong xã hội thông qua con đường nhà nước bao giờ cũng cân nhắc các loại quan hệ xã hội cần tác động tới bằng pháp luật nhằm bảo vệ lợi ích giai cấp. Các giai đoạn phát triển khác nhau của lịch sử xã hội loài người cho thấy, cùng một mối quan hệ xã hội nhất định sự thừa nhận và tác động bằng pháp luật của nhà nước ở mỗi giai đoạn khác nhau ...",1.0,
base_vietnamese_bi_encoder,3,"Tại sao việc thực hiện quyền lực công ở các quốc gia lại cần đến đội ngũ công chức, viên chức?",Thông tin bạn hỏi không được đề cập trong ngữ cảnh được cung cấp.,"Các cơ quan quyền lực nhà nước (cơ quan đại diện) Hệ thống cơ quan này do nhân dân trực tiếp bầu ra và đại diện cho ý chí, nguyện vọng của nhân dân, thay mặt nhân dân thực hiện ... || Cụ thể là: Nếu chủ thể chỉ có năng lực pháp luật mà không có năng lực hành vi thì không thể tự mình thực hiện được các quyền và nghĩa vụ mà nhà nước đã thừa nhận, không thể tham... || Để nhân dân có thể làm chủ đất nước, nhà nước cần có những cơ chế nhằm đảm bảo cho người dân được tham gia vào các hoạt động chung của nhà nước như kiểm tra, giám sát của hoạt đ... || ... (+2 đoạn)","Quy tắc ứng xử, quy tắc đạo đức nghề nghiệp, việc chuyển đổi vị trí công tác của cán bộ, công chức, viên chức Quy tắc ứng xử là các chuẩn mực xử sự của cán bộ, công chức, viên chức trong thi hành nhiệm vụ, công vụ và trong quan hệ xã hội, bao gồm những việc phải làm hoặc không được làm, phù hợp với đặc thù công việc của từng nhóm cán bộ, công chức, viên chức và từng lĩnh vực hoạt động công vụ, ...",0.0,Từ chối trả lời dù câu hỏi rõ; không bám đề
base_vietnamese_bi_encoder,4,"Theo Bộ luật Dân sự 2015, quyền định đoạt tài sản được hiểu như thế nào?","Theo Điều 192 Bộ luật Dân sự 2015, quyền định đoạt là quyền chuyển giao quyền sở hữu tài sản, từ bỏ quyền sở hữu, tiêu dùng hoặc tiêu hủy tài sản. Đây là quyền năng của chủ thể để quyết định ""số phận"" của tài sản.","” Quyền sử dụng tài sản có thể được thực hiện bởi chủ sở hữu nhưng cũng có thể chuyển giao cho người khác theo thỏa thuận hoặc theo quy định của pháp luật. Chủ sở hữu được sử dụ... || Định đoạt số phận thực tế của tài sản là làm chấm dứt sự tồn tại vật chất của tài sản, như huỷ bỏ, tiêu dùng hết hoặc từ bỏ quyền sở hữu đối với vật. Định đoạt số phận pháp lý c... || Chủ biên TS. Trần Thành Thọ yêu cầu của người đưa hối lộ. Bộ luật Hình sự 2015 (sửa đổi, bổ sung năm 2017) đã mở rộng nội hàm của thuật ngữ “của hối lộ” bằng việc quy định về lợ... || ... (+2 đoạn)","” Quyền sử dụng tài sản có thể được thực hiện bởi chủ sở hữu nhưng cũng có thể chuyển giao cho người khác theo thỏa thuận hoặc theo quy định của pháp luật. Chủ sở hữu được sử dụng tài sản theo ý chí của mình nhưng không được gây thiệt hại hoặc làm ảnh hưởng đến lợi ích Quốc gia, dân tộc, lợi ích công cộng, quyền và lợi ích hợp pháp của người khác. Chủ biên TS. Trần Thành Thọ Người không phải là...",1.0,
base_vietnamese_bi_encoder,5,"Theo Điều 650 Bộ luật Dân sự 2015, những trường hợp nào dẫn đến việc áp dụng thừa kế theo pháp luật?","Theo Điều 650 Bộ luật Dân sự 2015, thừa kế theo pháp luật được áp dụng trong các trường hợp sau: 1. Không có di chúc. 2. Di chúc không hợp pháp. 3. Những người thừa kế theo di chúc chết trước hoặc chết cùng thời điểm với người lập di chúc; cơ quan, tổ chức được hưởng thừa kế theo di chúc không còn tồn tại vào thời điểm mở thừa kế. 4. Những người được chỉ định làm người thừa kế theo di chúc mà không có quyền hưởng di sản hoặc từ chối quyền nhận di sản. Ngoài ra, thừa kế theo pháp luật còn áp dụng đối với: * Phần di sản không được định đoạt trong di chúc. * Phần di sản có liên quan đến phần của di chúc không có hiệu lực pháp luật. * Phần di sản có liên quan đến người được thừa kế theo di chúc nhưng họ không có quyền hưởng di sản, từ chối nhận di sản, chết trước hoặc chết cùng thời điểm với người lập di chúc.","Những trường hợp thừa kế theo pháp luật Theo quy định tại Điều 650, BLDS 2015 thì thừa kế theo pháp luật được áp dụng trong các trường hợp sau đây: Không có di chúc; di chúc khô... || Chẳng hạn, việc giải quyết một vụ án hình sự cần phải tiến hành theo những quy định của pháp luật tố tụng Chủ biên TS. Trần Thành Thọ hình sự, việc giải quyết một vụ án dân sự c... || Những trường hợp cần áp dụng pháp luật Áp dụng pháp luật là hoạt động phức tạp, được tiến hành trong những trường hợp sau: Thứ nhất: Khi cần phải áp dụng chế tài pháp luật đối v... || ... (+2 đoạn)","Những trường hợp thừa kế theo pháp luật Theo quy định tại Điều 650, BLDS 2015 thì thừa kế theo pháp luật được áp dụng trong các trường hợp sau đây: Không có di chúc; di chúc không hợp pháp; những người thừa kế theo di chúc chết trước hoặc chết cùng thời điểm với người lập di chúc, cơ quan, tổ chức được hưởng thừa kế theo di chúc không còn tồn tại vào thời điểm mở thừa kế; những người được chỉ đ...",1.0,
base_vietnamese_bi_encoder,6,Tại sao việc đưa ra các điều kiện như giết người hoặc hủy hoại tài sản trong di chúc lại không được pháp luật công nhận?,"Vì đó là những điều kiện trái pháp luật, vi phạm các quy định về nội dung của di chúc.","Những người không được hưởng di sản Trong thực tế có một số trường hợp cá biệt người thừa kế đã vi phạm nghiêm trọng nghĩa vụ của mình, có những hành vi trái pháp luật hoặc trái... || Di tặng Điều 646, BLDS 2015 quy định: “Di tặng là việc người lập di chúc dành một phần di sản để tặng cho người khác”. Theo quy định của pháp luật, việc di tặng phải được ghi rõ... || Chẳng hạn, trong di chúc người lập di chúc không thể định đoạt vật mà Nhà nước cấm lưu thông, định đoạt tài sản cho những tổ chức phản động, đưa ra những điều kiện trái pháp luậ... || ... (+2 đoạn)","Chẳng hạn, trong di chúc người lập di chúc không thể định đoạt vật mà Nhà nước cấm lưu thông, định đoạt tài sản cho những tổ chức phản động, đưa ra những điều kiện trái pháp luật đối với người thừa kế (giết người, huỷ hoại tài sản, không được nuôi dưỡng, chăm sóc người mà người thừa kế có nghĩa vụ chăm sóc, nuôi dưỡng...). Chủ biên TS. Trần Thành Thọ d. Hình thức của di chúc không trái quy định...",1.0,
base_vietnamese_bi_encoder,7,"Khi thực hiện quyền đối với tài sản thuộc sở hữu riêng, chủ sở hữu cần tuân thủ những giới hạn pháp lý nào để đảm bảo lợi ích chung?","Khi thực hiện quyền đối với tài sản thuộc sở hữu riêng, chủ sở hữu không được gây thiệt hại hoặc làm ảnh hưởng đến: - Lợi ích quốc gia, dân tộc. - Lợi ích công cộng. - Quyền và lợi ích hợp pháp của người khác.","Chủ sở hữu có quyền chiếm hữu, sử dụng, định đoạt tài sản thuộc sở hữu riêng của mình nhưng không được gây thiệt hại hoặc làm ảnh hưởng đến lợi ích quốc gia, dân tộc, lợi ích cô... || Các hình thức sở hữu Mục 2, chương XI, Bộ luật Dân sự 2015 quy định ba hình thức sở hữu: sở hữu toàn dân, sở hữu riêng và sở hữu chung. a. Sở hữu toàn dân Theo quy định tại điều... || Những sự kiện pháp lý này chính là những căn cứ xác lập quyền sở hữu đối với tài sản của chủ thể. - Theo nghĩa rộng, quyền sở hữu được hiểu là tổng hợp các quy phạm pháp luật do... || ... (+2 đoạn)","Chủ sở hữu có quyền chiếm hữu, sử dụng, định đoạt tài sản thuộc sở hữu riêng của mình nhưng không được gây thiệt hại hoặc làm ảnh hưởng đến lợi ích quốc gia, dân tộc, lợi ích công cộng, quyền và lợi ích hợp pháp của người khác. c. Sở hữu chung Hình thức sở hữu chung được quy định từ Điều 207 đến Điều 220 Bộ luật Dân sự 2015, theo đó, sở hữu chung là sở hữu của nhiều chủ thể đối với tài sản, tài...",1.0,
base_vietnamese_bi_encoder,8,Thế nào là sự tấn công hiện hữu trong phòng vệ chính đáng?,Sự tấn công hiện hữu trong phòng vệ chính đáng là hành vi tấn công đang xảy ra hoặc đe dọa xảy ra ngay tức khắc.,"Phòng vệ chính đáng Theo quy định tại Khoản 1 Điều 22 BLHS 2015: Phòng vệ chính đáng là hành vi của người vì bảo vệ lợi ích của Nhà nước, của tổ chức, bảo vệ quyền, lợi ích chín... || + Sự tấn công phải đang hiện hữu, nghĩa là hành vi tấn công phải đang xảy ra hoặc đe dọa xảy ra ngay tức khắc. - Thứ hai, mục đích phòng vệ là nhằm gạt bỏ sự tấn công, nghĩa là ... || Nhà nước phong kiến ra đời thực hiện một số chức năng cụ thể như bảo vệ và phát triển chế độ sở hữu phong kiến; thực hiện sự đàn áp đối với giai cấp nông dân và các tầng lớp khá... || ... (+2 đoạn)","+ Sự tấn công phải đang hiện hữu, nghĩa là hành vi tấn công phải đang xảy ra hoặc đe dọa xảy ra ngay tức khắc. - Thứ hai, mục đích phòng vệ là nhằm gạt bỏ sự tấn công, nghĩa là hành vi phòng vệ phải nhằm vào chính người đang có hành vi tấn công. Chủ biên TS. Trần Thành Thọ - Thứ ba, về phạm vi phòng vệ, sự phòng vệ phải trong giới hạn cần thiết để ngăn chặn sự tấn công. Sự cần thiết của hành vi...",1.0,
base_vietnamese_bi_encoder,9,Mối quan hệ giữa Mặt trận Tổ quốc Việt Nam và Đảng Cộng sản Việt Nam được thể hiện như thế nào?,"Mặt trận Tổ quốc Việt Nam là tổ chức liên minh chính trị, liên hiệp tự nguyện của các tổ chức chính trị, tổ chức chính trị - xã hội, tổ chức xã hội và các cá nhân tiêu biểu, hoạt động dưới sự lãnh đạo của Đảng.","Mặc dù đất nước ta đã hoàn toàn được giải phóng, nhưng công cuộc xây dựng xã hội chủ nghĩa của nước ta vẫn luôn phải đối mặt với nhiều thế lực thù địch, chống đối cách mạng và c... || Vị thế của pháp luật Việt Nam đã và đang được củng cố, phát huy trong các lĩnh vực khác nhau của đời sống xã hội, đáp ứng nhu cầu ngày càng cao của xã hội trở thành công cụ duy ... || 36 Nguyễn Quốc Văn - Vũ Công Giao, Sách chuyên khảo, Phát huy vai trò của xã hội trong phòng chống tham nhũng, Nxb. Hồng Đức, Hà Nội, 2017, trang 16 Chủ biên TS. Trần Thành Thọ ... || ... (+2 đoạn)","36 Nguyễn Quốc Văn - Vũ Công Giao, Sách chuyên khảo, Phát huy vai trò của xã hội trong phòng chống tham nhũng, Nxb. Hồng Đức, Hà Nội, 2017, trang 16 Chủ biên TS. Trần Thành Thọ Các chủ thể xã hội có vai trò và trách nhiệm quan trọng đối với công tác phòng, chống tham nhũng, điều đó thể hiện ở các nội dung cơ bản sau: - Trách nhiệm của Mặt trận Tổ quốc Việt Nam và các thành viên trong công tác p...",1.0,
base_vietnamese_bi_encoder,10,Mối quan hệ giữa các khả năng thực hiện quyền chủ thể được quy định như thế nào?,"Dựa trên ngữ cảnh được cung cấp, mối quan hệ giữa các khả năng thực hiện quyền chủ thể được quy định như sau: * **Sự gắn kết giữa quyền và nghĩa vụ:** Quyền và nghĩa vụ pháp lý có mối liên hệ mật thiết với nhau; tương ứng với quyền được thụ hưởng, chủ thể phải thực hiện các nghĩa vụ pháp lý nhất định. * **Khả năng thực hiện:** Chủ thể có khả năng thực hiện các quyền và nghĩa vụ thông qua các hành vi thực hiện pháp luật của mình. * **Trường hợp đặc biệt:** Đối với chủ thể bị mất, không có hoặc bị hạn chế năng lực hành vi, việc thực hiện các quyền và nghĩa vụ pháp lý phải được tiến hành thông qua hành vi của chủ thể khác (người đại diện, người giám hộ, người được ủy quyền...). * **Đối với pháp nhân:** Mọi hoạt động (thực hiện quyền và nghĩa vụ) của pháp nhân được tiến hành thông qua hành vi của các cá nhân là người đại diện, nhân danh pháp nhân để tạo ra quyền và nghĩa vụ cho pháp nhân đó.","Tuy nhiên trên thực tế, không phải mọi chủ thể của quan hệ pháp luật cũng đều có thể chủ động trực tiếp tham gia quan hệ pháp luật và tự mình thực hiện các quyền và nghĩa vụ mà ... || Chủ thể tham gia vào quan hệ xã hội nói trên đều biết được những việc được làm, không được làm, những việc cần phải làm theo yêu cầu của pháp luật trong những điều kiện, hoàn cả... || Năng lực chủ thể của pháp nhân Cũng như chủ thể là cá nhân, pháp nhân tham gia vào các quan hệ pháp luật phải có đủ năng lực chủ thể. Tuy nhiên, khác với năng lực chủ thể của cá... || ... (+2 đoạn)","Ví dụ: Pháp luật quy định cá nhân có quyền tự do ký kết hợp đồng, có quyền khiếu nại, có quyền tự do ngôn luận. + Khả năng yêu cầu các chủ thể khác chấm dứt các hành động cản trở nó thực hiện các quyền và nghĩa vụ hoặc yêu cầu tôn trọng các nghĩa vụ tương ứng phát sinh từ quyền và nghĩa vụ này. Ví dụ: Chủ sở hữu có quyền yêu cầu chấm dứt cản trở trái pháp luật đối với việc thực hiện quyền tài s...",0.5,"Lan sang quyền/nghĩa vụ chung, chưa trả đúng mối quan hệ các khả năng thực hiện quyền"
base_vietnamese_bi_encoder,11,Nguyên tắc áp dụng hình phạt chính và hình phạt bổ sung đối với một tội phạm được quy định như thế nào?,"Đối với mỗi tội phạm, người phạm tội (cá nhân hoặc pháp nhân thương mại) chỉ bị áp dụng một hình phạt chính và có thể bị áp dụng một hoặc một số hình phạt bổ sung.","Hình phạt áp dụng đối với cá nhân phạm tội bao gồm hình phạt chính như cảnh cáo, phạt tiền, cải tạo không giam giữ, trục xuất, tù có thời hạn, tù chung thân và tử hình. Các hình... || Các hình phạt đối với pháp nhân thương mại phạm tội Các hình phạt đối với pháp nhân thương mại phạm tội cũng bao gồm hình phạt chính và hình phạt bổ sung. Đối với mỗi tội phạm, ... || Các hình phạt đối với cá nhân người phạm tội Các hình phạt đối với cá nhân người phạm tội gồm hình phạt chính và hình phạt bổ sung. Nguyên tắc cơ bản của việc áp dụng các hình p... || ... (+2 đoạn)","Các hình phạt đối với cá nhân người phạm tội Các hình phạt đối với cá nhân người phạm tội gồm hình phạt chính và hình phạt bổ sung. Nguyên tắc cơ bản của việc áp dụng các hình phạt đối với cá nhân người phạm tội là: Đối với mỗi tội phạm, người phạm tội chỉ bị áp dụng một hình phạt chính và có thể bị áp dụng một hoặc một số hình phạt bổ sung. a. Các hình phạt chính bao gồm: Cảnh cáo; Phạt tiền; ...",1.0,
base_vietnamese_bi_encoder,12,Nguyên tắc phân hóa trách nhiệm hình sự đòi hỏi việc xác định tội phạm và hình phạt phải dựa trên những yếu tố nào?,"Theo nguyên tắc phân hóa trách nhiệm hình sự, việc xác định tội phạm và hình phạt phải dựa trên các yếu tố sau: * Mức độ gây nguy hiểm cho xã hội của tội phạm gây ra. * Nhân thân của chủ thể phạm tội. * Hoàn cảnh của chủ thể phạm tội.","7.1.2.5 Nguyên tắc phân hóa trách nhiệm hình sự Chức năng trừng phạt và giáo dục của luật hình sự chỉ có thể thành hiện thực khi trách nhiệm hình sự được xác định đúng cho từng ... || Nhiệm vụ của luật hình sự là truy cứu trách nhiệm hình sự đối với tội phạm, qua đó áp dụng hình phạt cho chủ thể tội phạm, vừa nhằm trừng trị người có hành vi nguy hiểm cho xã h... || 2015 đã cho thấy rõ sự quán triệt yêu cầu này trong việc quy định và áp dụng hình phạt ở nước ta. Ngoài ra, Khoản 1 Điều 50 BLHS 2015 cũng khẳng định: “Khi quyết định hình phạt,... || ... (+2 đoạn)","7.1.2.5 Nguyên tắc phân hóa trách nhiệm hình sự Chức năng trừng phạt và giáo dục của luật hình sự chỉ có thể thành hiện thực khi trách nhiệm hình sự được xác định đúng cho từng chủ thể phạm tội. Nguyên tắc phân hóa trách nhiệm hình sự, vì vậy là một trong những nguyên tắc đặc thù của ngành Luật Hình sự. Theo đó việc xác định tội phạm và hình phạt áp dụng cho chủ thể phạm tội phải tương xứng với...",1.0,
base_vietnamese_bi_encoder,13,Mối quan hệ giữa việc phản ánh hành vi tham nhũng của công dân với Ban thanh tra nhân dân và cơ quan nhà nước là gì?,"Công dân phản ánh hành vi tham nhũng với Ban thanh tra nhân dân hoặc tổ chức mà mình là thành viên. Sau đó, Ban thanh tra nhân dân hoặc tổ chức đó có trách nhiệm kiến nghị với cơ quan nhà nước có thẩm quyền để xem xét, giải quyết theo quy định của pháp luật. Việc phản ánh này phải đảm bảo tính khách quan và trung thực.","2012) mỗi công dân đều có trách nhiệm: - Chấp hành nghiêm chỉnh pháp luật về phòng, chống tham nhũng. - Lên án, đấu tranh với những người có hành vi tham nhũng. - Phản ánh với B... || 31 Thanh tra Chính phủ, Tài liệu bồi dưỡng về phòng, chống tham nhũng dành cho giáo viên các trường đại học, cao đẳng, trung cấp. Nguồn đã dẫn Chủ biên TS. Trần Thành Thọ thực h... || 35 Viện nghiên cứu lập pháp - Quỹ Rosa Luxemburg (CHLB Đức), Pháp luật về phòng, chống tham nhũng những vấn đề lý luận và thực tiễn, Nxb. Tư pháp, Hà Nội 2018, trang 274 - 275. ... || ... (+2 đoạn)","2012) mỗi công dân đều có trách nhiệm: - Chấp hành nghiêm chỉnh pháp luật về phòng, chống tham nhũng. - Lên án, đấu tranh với những người có hành vi tham nhũng. - Phản ánh với Ban thanh tra nhân dân, tổ chức mà mình là thành viên về hành vi tham nhũng, vụ việc tham nhũng để Ban thanh tra nhân dân, tổ chức đó kiến nghị với cơ quan nhà nước có thẩm quyền xem xét, giải quyết theo quy định của pháp...",1.0,
base_vietnamese_bi_encoder,14,Nhũng nhiễu vì vụ lợi được định nghĩa là gì trong hoạt động của cơ quan công quyền?,"Nhũng nhiễu vì vụ lợi là hành vi lợi dụng sự phức tạp, rườm rà, chưa rõ ràng của các trình tự, thủ tục hành chính để gây khó khăn, phiền hà cho công dân và doanh nghiệp. Mục đích của hành vi này là buộc họ phải đưa quà, tiền, nộp các khoản chi phí ngoài quy định hoặc thực hiện các hành vi khác vì lợi ích của người nhũng nhiễu. Thực chất, đây là hình thức ép buộc đưa hối lộ được che đậy tinh vi.","Tình trạng này có ở hầu hết các cấp, từ trung ương đến địa phương và cần phải được ngăn chặn kịp thời. * Nhũng nhiễu vì vụ lợi: Nhũng nhiễu vì vụ lợi là hành vi thường xuất hiện... || * Lợi dụng chức vụ, quyền hạn để bao che cho người có hành vi vi phạm pháp luật vì vụ lợi; cản trở, can thiệp trái pháp luật vào việc kiểm tra, thanh tra, kiểm toán, điều tra, t... || * Lợi dụng chức vụ, quyền hạn gây ảnh hưởng với người khác để trục lợi: Lợi dụng chức vụ, quyền hạn gây ảnh hưởng với người khác để trục lợi là hành vi của người có chức vụ, quy... || ... (+2 đoạn)","Tình trạng này có ở hầu hết các cấp, từ trung ương đến địa phương và cần phải được ngăn chặn kịp thời. * Nhũng nhiễu vì vụ lợi: Nhũng nhiễu vì vụ lợi là hành vi thường xuất hiện trong hoạt động của một số cơ quan công quyền, nhất là tại các cơ quan quản lý hành Chủ biên TS. Trần Thành Thọ chính nhà nước, nơi trực tiếp giải quyết công việc của công dân và doanh nghiệp. Sự phức tạp, rườm rà, chưa...",1.0,
